amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
120505,0.3280159948038617,1.1801011976606492,0.2926358334175106,0.000549004250631735,-0.18188513572116294,1.36,1.0,5.0,3.0,15.0,25.0,6.9
148567,0.30949920362874206,1.4482911703262598,0.2698375144191807,0.023683558075848637,-0.11265729075028275,1.46,5.0,1.0,7.0,23.0,8.0,7.3999999999999995
120843,0.30883325525154603,1.3067439695428409,0.27330465038306057,-0.022829569792426528,-0.1297396816518679,1.45,6.0,2.0,5.0,22.0,13.0,7.8999999999999995
100033,0.30099703552874524,1.093698743534631,0.2719535450128533,0.0051035258305283,-0.16217208574644848,1.38,7.0,7.0,6.0,17.0,20.0,9.600000000000001
148569,0.31924485848158723,1.2349300257743294,0.2827036785246582,0.018133884083859228,-0.1639674294693263,1.6,4.0,3.0,4.0,36.5,21.0,10.325
119598,0.3239808398464554,0.9453082575156095,0.3033696538698332,-0.02319606204405971,-0.2870600572176455,1.43,2.0,14.0,1.0,21.0,36.0,11.049999999999999
120504,0.2327744753273051,1.0265242847993001,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,13.0,10.0,13.0,12.0,12.0,12.0
119552,0.21508021785499332,0.9532794968660104,0.1986859936686296,-0.026159307513513412,-0.11803493502764295,0.66,15.0,12.0,15.0,4.0,11.0,12.2
149324,0.3226210752841656,0.9497958246616031,0.3005787817097677,0.011455159960520699,-0.31171900300634214,1.52,3.0,13.0,2.0,26.5,37.0,12.225000000000001
119551,0.2578492084946409,1.2082665673727175,0.23201007160635082,-0.03175144113890974,-0.1501238549864533,1.54,10.0,4.0,10.0,30.5,17.0,12.274999999999999
119094,0.28192608222062465,0.9982309868636413,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,9.0,11.0,9.0,17.0,28.0,12.6
149323,0.29558105232568344,1.1321218524747243,0.26598577542043045,-0.00252300466469923,-0.17248105753451382,1.61,8.0,6.0,8.0,38.0,22.0,13.399999999999999
118632,0.2403119561352478,1.0816591793457042,0.21829397904608644,-0.008353832126962014,-0.17414075086657232,1.51,11.0,8.0,11.0,24.5,23.0,13.475000000000001
101206,0.23520488754230384,1.0272133278753695,0.21399784776051212,0.021086316250128034,-0.11291596329323073,1.6,12.0,9.0,12.0,36.5,9.0,14.625
125497,0.19003613208378556,0.7757902498211205,0.17729754927531766,0.04882040425957738,-0.15200013055606398,0.92,16.0,18.0,16.0,14.0,18.0,16.4
148568,0.22499840384352243,0.9262873467360144,0.20873010086942337,-0.02638771994384303,-0.1527259422823477,1.52,14.0,15.0,14.0,26.5,19.0,16.625
120503,0.18771330105513617,0.7979728586052847,0.17703302365844073,-0.040268952369820595,-0.13897862823061635,1.42,17.0,17.0,17.0,20.0,14.0,17.15
102885,0.18218826089343754,0.8170993373494367,0.17048756803412696,-0.019486785689474536,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,18.999999999999996
118635,0.15945481185082522,0.664856998549062,0.1513635464823924,-0.0014335213897801215,-0.1165062450540909,0.89,23.0,19.0,23.0,13.0,10.0,19.2
118633,0.16262218000296524,0.6452074382933215,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,22.0,21.0,22.0,5.5,26.0,19.675
120506,0.17072227512921923,0.6488787755249532,0.1625385327998104,0.041896462728119754,-0.1982565826298267,1.41,19.0,20.0,20.0,19.0,27.0,20.25
120507,0.0723241093234459,0.4957233929533123,0.06746210411099539,-0.00044409263297072297,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,21.8
118634,0.16361396476593382,0.44843400890899127,0.1750072167561127,0.10349663691337589,-0.2334488614483311,1.53,21.0,26.0,18.0,28.5,32.0,23.875
